Loading SaProt dataset...

==================================================
Training SaProt Multi-Head Model (Seed 1)
==================================================

Seed 1 | Epoch 1/50:  24%|██▍       | 3494/14703 [00:08<00:26, 431.02it/s, OGT=8.154, Tm=17.149]
Seed 1 | Epoch 1/50:  24%|██▍       | 3540/14703 [00:08<00:25, 438.37it/s, OGT=8.154, Tm=17.149]
Seed 1 | Epoch 1/50:  24%|██▍       | 3587/14703 [00:08<00:24, 445.59it/s, OGT=8.154, Tm=17.149]
Seed 1 | Epoch 1/50:  24%|██▍       | 3587/14703 [00:08<00:24, 445.59it/s, OGT=8.550, Tm=16.738]
Seed 1 | Epoch 1/50:  25%|██▍       | 3632/14703 [00:08<00:25, 441.67it/s, OGT=8.550, Tm=16.738]
Seed 1 | Epoch 1/50:  25%|██▌       | 3678/14703 [00:08<00:24, 446.77it/s, OGT=8.550, Tm=16.738]
Seed 1 | Epoch 1/50:  25%|██▌       | 3678/14703 [00:08<00:24, 446.77it/s, OGT=9.197, Tm=18.416]
Seed 1 | Epoch 1/50:  25%|██▌       | 3724/14703 [00:08<00:24, 449.90it/s, OGT=9.197, Tm=18.416]
Seed 1 | Epoch 1/50:  26%|██▌       | 3771/14703 [00:09<00:24, 454.35it/s, OGT=9.197, Tm=18.416]
Seed 1 | Epoch 1/50:  26%|██▌       | 3771/14703 [00:09<00:24, 454.35it/s, OGT=9.808, Tm=13.664]
Seed 1 | Epoch 1/50:  26%|██▌       | 3817/14703 [00:09<00:23, 455.07it/s, OGT=9.808, Tm=13.664]
Seed 1 | Epoch 1/50:  26%|██▋       | 3863/14703 [00:09<00:23, 452.25it/s, OGT=9.808, Tm=13.664]
Seed 1 | Epoch 1/50:  26%|██▋       | 3863/14703 [00:09<00:23, 452.25it/s, OGT=6.752, Tm=19.312]
Seed 1 | Epoch 1/50:  27%|██▋       | 3909/14703 [00:09<00:24, 449.52it/s, OGT=6.752, Tm=19.312]
Seed 1 | Epoch 1/50:  27%|██▋       | 3954/14703 [00:09<00:24, 440.22it/s, OGT=6.752, Tm=19.312]
Seed 1 | Epoch 1/50:  27%|██▋       | 3999/14703 [00:09<00:24, 439.87it/s, OGT=6.752, Tm=19.312]
Seed 1 | Epoch 1/50:  27%|██▋       | 3999/14703 [00:09<00:24, 439.87it/s, OGT=8.131, Tm=15.688]
Seed 1 | Epoch 1/50:  28%|██▊       | 4044/14703 [00:09<00:24, 438.62it/s, OGT=8.131, Tm=15.688]
Seed 1 | Epoch 1/50:  28%|██▊       | 4088/14703 [00:09<00:24, 431.26it/s, OGT=8.131, Tm=15.688]
Seed 1 | Epoch 1/50:  28%|██▊       | 4088/14703 [00:09<00:24, 431.26it/s, OGT=7.119, Tm=12.739]
Seed 1 | Epoch 1/50:  28%|██▊       | 4133/14703 [00:09<00:24, 434.02it/s, OGT=7.119, Tm=12.739]
Seed 1 | Epoch 1/50:  28%|██▊       | 4177/14703 [00:09<00:24, 433.09it/s, OGT=7.119, Tm=12.739]
Seed 1 | Epoch 1/50:  28%|██▊       | 4177/14703 [00:10<00:24, 433.09it/s, OGT=10.935, Tm=15.129]
Seed 1 | Epoch 1/50:  29%|██▊       | 4221/14703 [00:10<00:24, 434.45it/s, OGT=10.935, Tm=15.129]
Seed 1 | Epoch 1/50:  29%|██▉       | 4266/14703 [00:10<00:23, 436.43it/s, OGT=10.935, Tm=15.129]
Seed 1 | Epoch 1/50:  29%|██▉       | 4266/14703 [00:10<00:23, 436.43it/s, OGT=7.284, Tm=16.533] 
Seed 1 | Epoch 1/50:  29%|██▉       | 4310/14703 [00:10<00:23, 436.93it/s, OGT=7.284, Tm=16.533]
Seed 1 | Epoch 1/50:  30%|██▉       | 4354/14703 [00:10<00:23, 436.18it/s, OGT=7.284, Tm=16.533]
Seed 1 | Epoch 1/50:  30%|██▉       | 4398/14703 [00:10<00:23, 433.13it/s, OGT=7.284, Tm=16.533]
Seed 1 | Epoch 1/50:  30%|██▉       | 4398/14703 [00:10<00:23, 433.13it/s, OGT=7.459, Tm=14.665]
Seed 1 | Epoch 1/50:  30%|███       | 4442/14703 [00:10<00:23, 433.98it/s, OGT=7.459, Tm=14.665]
Seed 1 | Epoch 1/50:  31%|███       | 4486/14703 [00:10<00:23, 432.92it/s, OGT=7.459, Tm=14.665]
Seed 1 | Epoch 1/50:  31%|███       | 4486/14703 [00:10<00:23, 432.92it/s, OGT=6.117, Tm=14.108]
Seed 1 | Epoch 1/50:  31%|███       | 4530/14703 [00:10<00:23, 426.28it/s, OGT=6.117, Tm=14.108]
Seed 1 | Epoch 1/50:  31%|███       | 4573/14703 [00:10<00:24, 420.28it/s, OGT=6.117, Tm=14.108]
Seed 1 | Epoch 1/50:  31%|███       | 4573/14703 [00:10<00:24, 420.28it/s, OGT=7.530, Tm=17.003]
Seed 1 | Epoch 1/50:  31%|███▏      | 4616/14703 [00:10<00:23, 422.14it/s, OGT=7.530, Tm=17.003]
Seed 1 | Epoch 1/50:  32%|███▏      | 4661/14703 [00:11<00:23, 428.07it/s, OGT=7.530, Tm=17.003]
Seed 1 | Epoch 1/50:  32%|███▏      | 4661/14703 [00:11<00:23, 428.07it/s, OGT=8.649, Tm=13.423]
Seed 1 | Epoch 1/50:  32%|███▏      | 4705/14703 [00:11<00:23, 430.60it/s, OGT=8.649, Tm=13.423]
Seed 1 | Epoch 1/50:  32%|███▏      | 4749/14703 [00:11<00:23, 432.11it/s, OGT=8.649, Tm=13.423]
Seed 1 | Epoch 1/50:  33%|███▎      | 4793/14703 [00:11<00:22, 434.14it/s, OGT=8.649, Tm=13.423]
Seed 1 | Epoch 1/50:  33%|███▎      | 4793/14703 [00:11<00:22, 434.14it/s, OGT=9.928, Tm=18.705]
Seed 1 | Epoch 1/50:  33%|███▎      | 4837/14703 [00:11<00:22, 432.66it/s, OGT=9.928, Tm=18.705]
Seed 1 | Epoch 1/50:  33%|███▎      | 4881/14703 [00:11<00:23, 424.79it/s, OGT=9.928, Tm=18.705]
Seed 1 | Epoch 1/50:  33%|███▎      | 4881/14703 [00:11<00:23, 424.79it/s, OGT=7.736, Tm=16.178]
Seed 1 | Epoch 1/50:  33%|███▎      | 4924/14703 [00:11<00:23, 423.90it/s, OGT=7.736, Tm=16.178]
Seed 1 | Epoch 1/50:  34%|███▍      | 4967/14703 [00:11<00:22, 425.56it/s, OGT=7.736, Tm=16.178]
Seed 1 | Epoch 1/50:  34%|███▍      | 4967/14703 [00:11<00:22, 425.56it/s, OGT=7.186, Tm=15.624]
Seed 1 | Epoch 1/50:  34%|███▍      | 5011/14703 [00:11<00:22, 427.97it/s, OGT=7.186, Tm=15.624]
Seed 1 | Epoch 1/50:  34%|███▍      | 5055/14703 [00:11<00:22, 431.43it/s, OGT=7.186, Tm=15.624]
Seed 1 | Epoch 1/50:  35%|███▍      | 5100/14703 [00:12<00:22, 434.21it/s, OGT=7.186, Tm=15.624]
Seed 1 | Epoch 1/50:  35%|███▍      | 5100/14703 [00:12<00:22, 434.21it/s, OGT=8.536, Tm=19.296]
Seed 1 | Epoch 1/50:  35%|███▍      | 5145/14703 [00:12<00:21, 436.20it/s, OGT=8.536, Tm=19.296]
Seed 1 | Epoch 1/50:  35%|███▌      | 5189/14703 [00:12<00:21, 433.17it/s, OGT=8.536, Tm=19.296]
Seed 1 | Epoch 1/50:  35%|███▌      | 5189/14703 [00:12<00:21, 433.17it/s, OGT=9.430, Tm=14.321]
Seed 1 | Epoch 1/50:  36%|███▌      | 5233/14703 [00:12<00:21, 432.64it/s, OGT=9.430, Tm=14.321]
Seed 1 | Epoch 1/50:  36%|███▌      | 5277/14703 [00:12<00:21, 434.62it/s, OGT=9.430, Tm=14.321]
Seed 1 | Epoch 1/50:  36%|███▌      | 5277/14703 [00:12<00:21, 434.62it/s, OGT=7.842, Tm=12.721]
Seed 1 | Epoch 1/50:  36%|███▌      | 5321/14703 [00:12<00:21, 428.90it/s, OGT=7.842, Tm=12.721]
Seed 1 | Epoch 1/50:  36%|███▋      | 5364/14703 [00:12<00:22, 412.54it/s, OGT=7.842, Tm=12.721]
Seed 1 | Epoch 1/50:  36%|███▋      | 5364/14703 [00:12<00:22, 412.54it/s, OGT=7.081, Tm=19.108]
Seed 1 | Epoch 1/50:  37%|███▋      | 5406/14703 [00:12<00:23, 397.76it/s, OGT=7.081, Tm=19.108]
Seed 1 | Epoch 1/50:  37%|███▋      | 5446/14703 [00:12<00:23, 390.86it/s, OGT=7.081, Tm=19.108]
Seed 1 | Epoch 1/50:  37%|███▋      | 5490/14703 [00:13<00:22, 403.62it/s, OGT=7.081, Tm=19.108]
Seed 1 | Epoch 1/50:  37%|███▋      | 5490/14703 [00:13<00:22, 403.62it/s, OGT=11.177, Tm=14.630]
Seed 1 | Epoch 1/50:  38%|███▊      | 5534/14703 [00:13<00:22, 411.63it/s, OGT=11.177, Tm=14.630]
Seed 1 | Epoch 1/50:  38%|███▊      | 5578/14703 [00:13<00:21, 418.79it/s, OGT=11.177, Tm=14.630]
Seed 1 | Epoch 1/50:  38%|███▊      | 5578/14703 [00:13<00:21, 418.79it/s, OGT=10.357, Tm=12.021]
Seed 1 | Epoch 1/50:  38%|███▊      | 5620/14703 [00:13<00:21, 418.76it/s, OGT=10.357, Tm=12.021]
Seed 1 | Epoch 1/50:  39%|███▊      | 5664/14703 [00:13<00:21, 423.61it/s, OGT=10.357, Tm=12.021]
Seed 1 | Epoch 1/50:  39%|███▊      | 5664/14703 [00:13<00:21, 423.61it/s, OGT=8.632, Tm=19.109] 
Seed 1 | Epoch 1/50:  39%|███▉      | 5708/14703 [00:13<00:21, 427.55it/s, OGT=8.632, Tm=19.109]
Seed 1 | Epoch 1/50:  39%|███▉      | 5751/14703 [00:13<00:20, 427.62it/s, OGT=8.632, Tm=19.109]
Seed 1 | Epoch 1/50:  39%|███▉      | 5794/14703 [00:13<00:21, 422.75it/s, OGT=8.632, Tm=19.109]
Seed 1 | Epoch 1/50:  39%|███▉      | 5794/14703 [00:13<00:21, 422.75it/s, OGT=8.015, Tm=16.422]
Seed 1 | Epoch 1/50:  40%|███▉      | 5839/14703 [00:13<00:20, 429.67it/s, OGT=8.015, Tm=16.422]
Seed 1 | Epoch 1/50:  40%|████      | 5886/14703 [00:13<00:20, 439.33it/s, OGT=8.015, Tm=16.422]
Seed 1 | Epoch 1/50:  40%|████      | 5886/14703 [00:13<00:20, 439.33it/s, OGT=5.474, Tm=15.398]
Seed 1 | Epoch 1/50:  40%|████      | 5933/14703 [00:14<00:19, 446.50it/s, OGT=5.474, Tm=15.398]
Seed 1 | Epoch 1/50:  41%|████      | 5979/14703 [00:14<00:19, 448.22it/s, OGT=5.474, Tm=15.398]
Seed 1 | Epoch 1/50:  41%|████      | 5979/14703 [00:14<00:19, 448.22it/s, OGT=7.260, Tm=14.000]
Seed 1 | Epoch 1/50:  41%|████      | 6024/14703 [00:14<00:19, 442.27it/s, OGT=7.260, Tm=14.000]
Seed 1 | Epoch 1/50:  41%|████▏     | 6069/14703 [00:14<00:19, 440.40it/s, OGT=7.260, Tm=14.000]
Seed 1 | Epoch 1/50:  41%|████▏     | 6069/14703 [00:14<00:19, 440.40it/s, OGT=7.357, Tm=14.587]
Seed 1 | Epoch 1/50:  42%|████▏     | 6114/14703 [00:14<00:19, 440.10it/s, OGT=7.357, Tm=14.587]
Seed 1 | Epoch 1/50:  42%|████▏     | 6159/14703 [00:14<00:19, 440.02it/s, OGT=7.357, Tm=14.587]
Seed 1 | Epoch 1/50:  42%|████▏     | 6159/14703 [00:14<00:19, 440.02it/s, OGT=7.841, Tm=16.587]
Seed 1 | Epoch 1/50:  42%|████▏     | 6204/14703 [00:14<00:19, 432.48it/s, OGT=7.841, Tm=16.587]
Seed 1 | Epoch 1/50:  42%|████▏     | 6248/14703 [00:14<00:19, 429.36it/s, OGT=7.841, Tm=16.587]
Seed 1 | Epoch 1/50:  43%|████▎     | 6292/14703 [00:14<00:19, 431.11it/s, OGT=7.841, Tm=16.587]
Seed 1 | Epoch 1/50:  43%|████▎     | 6292/14703 [00:14<00:19, 431.11it/s, OGT=10.197, Tm=12.990]
Seed 1 | Epoch 1/50:  43%|████▎     | 6336/14703 [00:14<00:19, 433.50it/s, OGT=10.197, Tm=12.990]
Seed 1 | Epoch 1/50:  43%|████▎     | 6381/14703 [00:15<00:19, 435.41it/s, OGT=10.197, Tm=12.990]
Seed 1 | Epoch 1/50:  43%|████▎     | 6381/14703 [00:15<00:19, 435.41it/s, OGT=7.628, Tm=9.647]  
